Vehicle,year,day,period,Media spent,VehicleSessions,FinalizedConfigurations,Total leads,Retail Commercial Offers,Total orders
- All Vehicles,2016,01/31,Monthly View,5961,1.472325e+06,184291,11240,212865,29261
- All Vehicles,2016,02/29,Monthly View,5777,1.252298e+06,169303,11661,196519,29873
- All Vehicles,2016,03/31,Monthly View,8087,1.40414e+06,193616,22032,229487,39344
- All Vehicles,2016,04/30,Monthly View,7644,1.148037e+06,144731,17181,188316,33265
- All Vehicles,2016,05/31,Monthly View,7518,1.041093e+06,134385,16905,159964,26871
- All Vehicles,2016,06/30,Monthly View,10332,0,0,0,26640,3014
