Shape_ID,EntityHand,floor_nb,Retailer name,Branch level 2,value,value_comp,Shop Front Traffic_comp,Shop Front Traffic,GLA,Lease end,breakdown,floor
0_17,95,0,Magasin 5,Fashion,10237,20033,191184,135571,149,31/07/19,Visits,Floor 0
0_18,96,0,Magasin 6,Fashion,18691,20033,191184,119315,267,06/05/22,Visits,Floor 0
0_19,97,0,Magasin 7,Fashion,17780,10811,148500,137511,85,16/05/22,Visits,Floor 0
0_20,98,0,Magasin 8,General Alimentation,7366,20033,191184,249143,285,18/04/22,Visits,Floor 0
0_22,9A,0,Magasin 9,General Alimentation,5128,5128,111731,111731,114,28/05/22,Visits,Floor 0
0_24,9D,0,Magasin 10,General Alimentation,13088,20033,191184,154895,182,29/04/22,Visits,Floor 0
0_25,9E,0,Magasin 11,General Alimentation,23107,28809,249213,238075,290,02/05/22,Visits,Floor 0
0_28,A2,0,Magasin 12,General Alimentation,4099,2475,148134,135887,87,09/02/24,Visits,Floor 0
0_29,A3,0,Magasin 13,General Alimentation,5108,16280,168894,143095,157,31/08/22,Visits,Floor 0
0_30,A5,0,Magasin 14,General Alimentation,18889,20033,191184,138778,135,15/05/12,Visits,Floor 0
0_32,A7,0,Magasin 15,General Alimentation,36293,20902,149305,184675,145,30/06/22,Visits,Floor 0
0_34,A9,0,Magasin 16,General Alimentation,8316,16280,168894,174280,131,14/07/18,Visits,Floor 0
0_37,AC,0,Magasin 17,Hairdressers,33304,23235,164597,197663,86,31/07/21,Visits,Floor 0
0_40,AF,0,Magasin 18,Hairdressers,15583,12474,175715,228373,86,18/10/16,Visits,Floor 0
0_42,B4,0,Magasin 19,Hairdressers,12415,10246,151638,191347,110,15/05/22,Visits,Floor 0
0_43,B5,0,Boutique 1,Hairdressers,13226,9385,186962,223799,170,30/12/23,Visits,Floor 0
0_44,B6,0,Boutique 2,Hairdressers,6930,9385,186962,242134,54,30/12/23,Visits,Floor 0
0_45,B7,0,Boutique 3,Hairdressers,11504,9385,186962,132977,134,14/05/22,Visits,Floor 0
0_47,B9,0,Boutique 4,Hairdressers,3782,3782,137392,137392,70,28/05/12,Visits,Floor 0
0_48,BA,0,Boutique 5,Hairdressers,11524,8672,144903,192159,160,15/05/22,Visits,Floor 0
0_49,BB,0,Boutique 6,Hairdressers,23186,40946,209407,254826,482,04/11/17,Visits,Floor 0
0_50,BC,0,Boutique 7,Hairdressers,14276,19312,176999,211999,214,14/05/21,Visits,Floor 0
0_53,BF,0,Boutique 8,Family Fashion,103455,40946,209407,322186,1509,31/12/18,Visits,Floor 0
0_54,C2,0,Boutique 9,Technologie,71260,71260,286546,286546,650,29/04/12,Visits,Floor 0
